instruction,response,source,conversation_id,movie_title,genres
C'est vrai! Vraiment?,"Parmi les personnes comme vous, les personnes créatives sous un grand stress, comportement erratique n'est pas du tout rare et certainement rien à avoir honte. C'est juste que les névroses qui alimentent votre talent peuvent également générer certaines...",cornell_movie_dialogs,conv_8690,frances,"biography, drama"
"Allez, les gars! Chaque Noël et chaque anniversaire, on passe par là.",Et si Andy avait un autre dinosaure? Un méchant? Je ne pense pas pouvoir accepter ce genre de rejet.,cornell_movie_dialogs,conv_78544,toy story,"animation, adventure, comedy, family, fantasy"
Deux millions de dollars en attente d'être transférés de la Deuxième Banque de Gotham sur la 22ème Comment a pu Harvey? Résistez-vous?,Et vous êtes?,cornell_movie_dialogs,conv_37052,batman forever,"action, crime, fantasy, thriller"
"Écoutez, c'est un fait que je n'ai pas écrit la lettre, mais tout ça a commencé.","Voilà! Vous voyez? Il l'admet! Vous êtes un faux, John Doe! Et pour ce que tu as fait à toutes ces bonnes personnes, ils devraient te chasser du pays et j'espère qu'ils le feront!",cornell_movie_dialogs,conv_18965,meet john doe,"comedy, drama, romance"
"Contexte: je suis client regulier. Coucou, Comment annuler mon abonnement?","Ajoutez votre nouvelle carte dans les moyens de paiement et mettez-la par defaut. Si vous voulez, je peux aussi vous donner une checklist concise.",qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_9158,,
Ils n'auraient pas pu le voir?,"Ces portes étaient baissées... ce qui signifie ça. Ils ont regardé par le trou, ont vu ces gars et ont ouvert les portes de l'intérieur. Papa, papa, papa, juste à travers le verre. Pourquoi?",cornell_movie_dialogs,conv_5073,the boondock saints,"action, crime, drama, thriller"
"Trois choses. Premièrement... Tu n'as pas le choix. Deuxièmement, je n'ai jamais pris de pot-de-vin dans ma vie. Et troisièmement -- je suis encore un peu saoul de la nuit dernière, donc si je saute au-dessus de la plaisanterie spirituelle et avance pour vous frapper directement, essayez de ne pas vous offenser. Parlez-moi des deux gars.","L'ouragan a détruit notre ordinateur principal, donc tout ce que nous avons sont leurs dogtags. Cadets Raymond Dunbar et Levi Kendall...",cornell_movie_dialogs,conv_3839,basic,"crime, drama, mystery, thriller"
"Joe... Je vais avoir peur de ce type. On continue à l'appeler idiot, et il continue à nous enrouler les cheveux! Quand il découvrira qu'un barrage monte où il veut son camp, il commencera à poser des questions à six reprises à partir de dimanche...","Taisez-vous, Chick... J'essaie de penser... Ce projet de loi sur le déficit sera lu au Sénat demain.",cornell_movie_dialogs,conv_19723,mr. smith goes to washington,drama
Une chance?,Oui. Il a finalement accepté de nous laisser une chambre.,cornell_movie_dialogs,conv_14401,it happened one night,"comedy, romance"
"Le test est ce lundi! 15 mégatonnes... Voyons voir, il nous faut 4200 rads... Tu devrais être... exactement à 800 mètres du sol... Vous réalisez que ce que nous allons faire pourrait être extrêmement dangereux.","Croyez-moi, professeur, courir sur un site d'essais nucléaires ne peut pas être plus dangereux que ce que je faisais.",cornell_movie_dialogs,conv_36177,back to the future,"adventure, family, sci-fi"
Vous devez vous prosterner devant le Tout-Puissant Bunghole. C'est cool. Bungholio-o-o-o-o-o!,Il nous branle. Je pense qu'on va devoir l'enlever. Préparez-vous à tirer sur mes ordres... C'est ta dernière chance. Donnez-nous l'unité maintenant...,cornell_movie_dialogs,conv_37390,beavis and butt-head do america,"animation, adventure, comedy, crime"
Je ne veux plus parler.,"Ce n'était pas mon intention de blesser Wilder. Je te dis la vérité. J'aimais cet homme. Je voulais juste me lâcher... pour survivre. Ton petit ami cheechako a intérêt à le comprendre. Ecoute, j'ai de l'argent à ranger...",cornell_movie_dialogs,conv_35305,arctic blue,"action, thriller"
Vous ne vous souciez pas assez de Sam pour...,"Sam Wilder était mon cousin. C'est pour ça que je suis venu en Alaska. Toutes ses lettres, disant quel paradis c'est. Mais si je finis mort, Sam ne fera pas le bien.",cornell_movie_dialogs,conv_35392,arctic blue,"action, thriller"
"C'est moi... Je n'ai jamais réussi. J'ai juste... Je ne t'aime pas. Ce n'est pas ça. Je n'aurais jamais pensé avoir 36 ans et je n'aurais jamais pensé... Je ne sais pas ce que je pensais. Qu'est-ce que tu veux, chérie. Que voulez-vous que je fasse?","Je ne sais pas. Ça n'a plus d'importance. Je veux juste que tu sois heureuse... Je ne t'aime pas non plus. Mais Jimmy, ton timing ne pourrait pas être pire.",cornell_movie_dialogs,conv_30376,thelma & louise,"crime, drama, thriller"
"Je ne sais pas. Les deux. Mon plan en ce moment est de monter sur le pont, regarder le coucher du soleil. Viens avec moi.","Allez-y. Je ne veux pas encore m'habiller. Reviens quand même. Reviens. Tu as l'air si détendue, comme une personne complètement différente.",cornell_movie_dialogs,conv_29009,the talented mr. ripley,"crime, drama, thriller"
Qu'est-ce que je t'ai dit? Qu'est-ce que je t'ai dit? Achetez la feuille de route et partez.,"Qu'est-ce que je dois faire, Seth? Il nous a reconnus.",cornell_movie_dialogs,conv_8971,from dusk till dawn,"action, crime, horror, thriller"
Non...,"Écoute, Jimmy, tu sais, je ne t'ai pas vu depuis huit ans, tu t'es pointé à ma porte comme si tu étais drogué - maintenant le moins que tu puisses faire est de me dire ce qui se passe putain!",cornell_movie_dialogs,conv_59313,manhunt,"action, adventure, crime, horror, thriller"
Vraiment?,"Intimement. Pour chaque péché que tu as placé sur ma tête, je pourrais te donner cent autres. J'ai nagé dans le sang toute ma vie. Mais je garde une croyance, peut-être penserez-vous que c'est une vieille façon, sans aucun doute vous le ferez, mais je pense que la vie privée ne devrait pas être une propriété publique.",cornell_movie_dialogs,conv_23547,rko 281,"biography, drama"
"J'ai deja essaye les solutions de base. Bonsoir, Comment recuperer mon argent pour la commande ORD-658275?",Vous pouvez faire la demande depuis la page de commande dans la section retours et remboursements.,qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_14338,,
Que voulez-vous du Pentagone?,"La même chose que je veux avec le Kremlin. Je m'ennuie avec les sociétés. Avec l'information que je peux accéder, je peux gérer les choses 900 à 1200 fois mieux que n'importe quel humain.",cornell_movie_dialogs,conv_78957,tron,"action, adventure, sci-fi, thriller, sci-fi"
"La femme était en état de choc. Elle était dans les rangs. Je suis restée parce que je ne voulais pas qu'elle se réveille seule dans un endroit où elle venait d'être attaquée. Arrête, fils de pute! L'endroit n'était pas sécurisé. Je faisais mon boulot! Et pour la deuxième fois, j'ai dormi dans son salon.","N'essaie pas de mentir, Ruben. Tu n'as pas le visage pour ça. Aidez-moi à interroger le cambrioleur chez Hudson...",cornell_movie_dialogs,conv_43505,copycat,"crime, mystery, thriller"
"Je pense que tu devrais vraiment y réfléchir! De cette façon, vous n ' aurez pas à jongler avec un emploi du temps si chargé, et vous aurez toujours à passer du temps avec les enfants le soir. Je peux te dire ça.","C'est génial. Merci Grace. Pouvez-vous me donner son numéro? Je vais en parler à Dan et l'appeler demain. Peut-être que de cette façon je ne serai pas si fatigué tous les jours, et Dan et moi pourrions même aller",dialog_csv:test.csv,dialog_test_174,,
"Euh, Erin? Écoute. Même si tu n'es pas forcément ma personne préférée dans le monde... parfois tu n'es pas à moitié mal.","Je suppose que c'était un compliment, Anna, et dis juste merci.",cornell_movie_dialogs,conv_47314,erin brockovich,"biography, drama, romance"
"Le plus gros problème que je vois, c'est ce gars qui a été arrêté, McCord -- James McCord -- il a dirigé la sécurité pour que le comité réélisse. Il s'avère être un ex-CIA.","Ex-CIA? Il n'y a rien de tel que ""ex-CIA"", John -- ils sont tous Ivy League Establishment. C'est un de ces gars qui a un problème contre nous?",cornell_movie_dialogs,conv_21311,nixon,"biography, drama"
Il vaut mieux que ce soit bon.,"Image un homme qui a façonné son temps. Une figure titanique d'influence illimitée. Pensez à l'empire. Un homme avec un empire à ses pieds. Un homme, comme un baron, vivant dans un palais, un palais glorieux sur une colline, et contrôlant les permutations de tout le monde sous lui. Féodale.",cornell_movie_dialogs,conv_23593,rko 281,"biography, drama"
Comme papa? Où vous a-t-il dit ça? Dans une putain de séance?,"Tu voulais savoir quelque chose, Brian. Qu'avez-vous appris aujourd'hui? Qu'en dites-vous, Brian? Il est temps de passer à autre chose?",cornell_movie_dialogs,conv_3305,backdraft,"action, crime, drama, mystery, thriller"
"L'avocat; Questadt, il appartient à Roth.","Tu n'es rien pour moi maintenant, Fredo; pas un frère, pas un ami, je ne veux pas te connaître, ni ce qui t'arrive. Je ne veux pas te voir à l'hôtel, ni près de chez moi. Quand tu rendras visite à notre Mère, je veux savoir un jour à l'avance, donc je ne serai pas là. Compris?",cornell_movie_dialogs,conv_51316,the godfather: part ii,"crime, drama, thriller"
"... deux ans est encore un enfer de temps -- et pour autant que nous puissions dire il n'y a pas de provisions dans la conception de la machine pour stocker la nourriture, l'eau, même l'air...",... Je n'arrive pas à croire qu'ils ne prennent pas en compte quelque chose d'aussi basique que nos besoins biologiques...,cornell_movie_dialogs,conv_43160,contact,"drama, mystery, sci-fi, thriller"
...oui...,"...et tu ne te souviens pas. Parce que tu n'étais pas là. C'est froid. Montez à la porte. Je ne connais même pas leur nom. Je vends quelque chose qu'ils ne veulent même pas. Tu parles de la vente douce... avant qu'on ait un nom pour ça... avant qu'on l'appelle n'importe quoi, on l'a fait.",cornell_movie_dialogs,conv_51215,glengarry glen ross,drama
Je me débrouille bien tout seul.,Je mérite de t'aider. Tu ne vois pas combien ça veut dire? Mon père... c'était un homme bien...,cornell_movie_dialogs,conv_70192,sleepy hollow,"fantasy, mystery, thriller"
"Contexte: je suis client regulier. Hello, Comment annuler mon abonnement?","Ajoutez votre nouvelle carte dans les moyens de paiement et mettez-la par defaut. Si vous voulez, je peux aussi vous donner une checklist concise.",qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_9346,,
"Contexte: je suis etudiant. Coucou, J'ai oublie mon mot de passe, comment le reinitialiser?","En cas de perte de telephone, passez par la procedure de recuperation securisee. Si vous voulez, je peux aussi vous donner une checklist concise.",qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_15662,,
"Peter Redmond. Ils ont découvert pourquoi il ne se souvient pas de ses lignes. Il y a quelque chose dans son cerveau. Un parasite qu'il a ramassé à Bornéo, faisant le film.",Il peut y arriver?,cornell_movie_dialogs,conv_50579,game 6,"comedy, drama, sport"
"Bonsoir, Le site est tres lent aujourd'hui.","D'accord, on va regler ca ensemble. Partagez votre appareil, version, et heure exacte du probleme pour diagnostic.",qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_57287,,
"C'est quoi, ça?","Ils ont entendu parler de Triad, du travail que tu vas faire et ils reconnaissent les compétences. Et ce n'est pas une tentative de tapoter ""montre-nous ta merde"" non plus -- si tu veux ça, je vais le faire pour 'ya.",cornell_movie_dialogs,conv_26251,smokin' aces,"action, crime, drama, thriller"
Que pouvez-vous nous dire sur l'ennemi auquel nous sommes confrontés?,"Pas trop dissemblable pour nous. Respire de l'oxygène, des tolérances comparables à la chaleur, au froid... probablement pourquoi ils s'intéressent à notre planète. Tu veux les voir?",cornell_movie_dialogs,conv_13383,independence day,"action, adventure, sci-fi, thriller"
Très bien. Je comprends que vous vous intéressez à une de nos propriétés?,Oui. Cet entrepôt sur Merchant Street. Le volume de nos importations a considérablement augmenté. Le produit de ce trimestre sera surnuméraire en raison du --,cornell_movie_dialogs,conv_43778,crime spree,"action, comedy, crime"
C'est priorite normale pour moi. Je veux un remboursement pour la commande ORD-670109.,"Si la commande est dans le delai de retour, le remboursement est valide apres depot ou collecte. Si vous voulez, je peux aussi vous donner une checklist concise.",qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_70420,,
"Tu n'as pas été envoyé ici pour partir avec tes propres détails, Ray. Vous avez été envoyé ici pour aider dans une unité d'opérations sélectives. Ces agents régionaux sont ineptes -- c'est pourquoi ils ont été envoyés ici au cimetière, au pays indien. J'ai besoin de toi derrière moi, Ray. Ne pas tirer contre moi.","Je n'essaie pas de m'opposer à toi, Cooch. J'ai fait des cauchemars sur la façon dont Léo a été tué.",cornell_movie_dialogs,conv_30880,thunderheart,"crime, mystery, thriller, western"
C'est dur de rimer.,Je crois en toi...,cornell_movie_dialogs,conv_81049,wag the dog,"comedy, drama"
Ce n'est pas ce que tu penses. C'est peut-être...,"Tu l'as vraiment fait. Avec un jour, pas même un jour, de planification, tu l'as fait. Personne ne fait mieux, Hudson. Tu as commencé la semaine à voler la Sforza et tu as fini avec le Codex.",cornell_movie_dialogs,conv_54705,hudson hawk,"action, adventure, comedy, action, adventure, comedy, crime"
Il y a beaucoup de choses que tu ignores.,Je ne m'arrête pas. Je suis en route.,cornell_movie_dialogs,conv_45804,do the right thing,drama
"La semaine dernière, je l'ai invitée à dîner. Mon mari et moi n'avons eu aucun problème avec la nourriture, mais si vous l'écoutiez, alors il semblerait que je lui ai donné de la viande et des légumes pourris. Rien ne peut lui plaire.","Non, je ne vois pas que ça arrive. Je sais que vous êtes un bon cuisinier et que rien de tel n'arriverait jamais.",dialog_csv:test.csv,dialog_test_750,,
"Ne tirez pas, monsieur. Je peux gérer ça. Ray, mon pote, tu ne veux pas tuer cet homme blanc. Tu vois, tu fais ça, ils te tueront pour sûr. Et ce n'est pas que je t'aime bien, mais je me suis habitué à t'avoir.","Il a la montre de mon père, Claude. J'ai toujours su qui avait pris cette montre a tué Winston Hancock. Et c'était vous, M. Pike.",cornell_movie_dialogs,conv_17063,the life of david gale,"drama, crime, thriller"
"Dans les mots immortels de Derrick Coleman, WHOOOPDEEDAMNDOO!!!","Derrick Coleman, il possédait tout le talent dans le monde, pourrait, devrait, était un grand joueur de balle mais hélas D.C. ne voulait pas assez mal. Delacroix, tu le veux? Assez pour tuer pour ça? Tu le veux tant que ça.",cornell_movie_dialogs,conv_3528,bamboozled,"comedy, drama, music"
Ce qui pourrait valoir tout ce meurtre et cette destruction.,Parfois je pense que c'est juste pour quelque chose à faire. Une conquête pour être la dernière. Quelque chose à retenir pendant que tout le reste autour de vous se fane et souffle. Quelque chose pour remplacer l'amour qui ne peut jamais fonctionner.,cornell_movie_dialogs,conv_12209,highlander,"action, fantasy"
Mais je n'ai pas utilisé de matériel d'entraînement avant. Pouvez-vous nous en dire plus?,"Certainement. Nous avons ici l'appareil de course, vélo stationnaire, musculo-constructeur ensemble, extenseur de poitrine, cloche de barre, cloche de muet et ainsi de suite.",dialog_csv:test.csv,dialog_test_315,,
Je ne te crois pas.,"Tu n'es pas désolé. Vous avez peur. Vous êtes psychologue, Norman. Vous êtes fier de savoir quand quelqu'un vous ment, pas de vous dire la vérité. Et maintenant, tu as peur... parce que tu n'es plus sûr de pouvoir le dire.",cornell_movie_dialogs,conv_71776,sphere,"drama, horror, mystery, sci-fi, thriller"
"C'est trop facile. Une minute tu veux mourir, la prochaine fois que tu veux vivre... Pensez-vous que la vie est un jouet qui peut être joué avec puis cassé quand vous ne voulez plus?","Non, non... Je suis tellement fatigué, et perdu, et... Je ne savais pas ce que je faisais!",cornell_movie_dialogs,conv_76698,the messenger,"drama, romance, war"
"Qu'est-ce que <u>vous</u> obtenir de <u>nous est une date. Un endroit. ""Dans le parking d'un Jack-in-the-Box dans le nord de Miami."" À ce moment-là, un dix-huit roues sera là. Clés d'allumage. Prêt à rouler. Tu décroches. Et vous la conduisez... loin.","L'argent est fait à l'avance dans des endroits où il n'y a pas d'armes. Parce que quand l'argent et les armes se rassemblent, il y a de la violence...",cornell_movie_dialogs,conv_60402,miami vice,"action, crime, drama, thriller"
Je te paierai ton prix. Je t'enverrai au Montana en première classe.,"Madame, la première classe au Montana est un gaspillage d'argent. Maintenant, suis-je trop poli ici ou quand je dis NON à Utah, cela signifie-t-il OUI à New York?",cornell_movie_dialogs,conv_52333,the horse whisperer,"drama, romance, western"
Vous savez *comment* aider ces femmes-- comment ne vous sentez-vous pas *obligé* pour les aider quand elles ne peuvent obtenir de l'aide nulle part ailleurs?,Un: c'est illégal. Deux: je n'ai pas demandé comment le faire -- vous venez de me le montrer.,cornell_movie_dialogs,conv_6196,the cider house rules,"drama, romance"
Pourquoi devrais-je le tuer?,"Pour une excellente raison de votre propre admission, je ne vous dis pas que vous avez fait <U>, mais je pense que vous en savez plus que vous ne le dites. Des années d'expérience m'ont appris à me méfier des preuves circonstancielles. Néanmoins, dans votre cas, il y en a beaucoup.",cornell_movie_dialogs,conv_78006,transatlantic merry-go-round,"comedy, musical, mystery, romance"
Mais... comment avez-vous pu le battre?,"Physique du lycée, Luthor. Pendant que je récupérais, j'ai eu le temps de comprendre que si votre sale créature était née du soleil, ça devait être sa source d'énergie.",cornell_movie_dialogs,conv_74023,superman iv: the quest for peace,"action, adventure, family, fantasy, sci-fi"
Il a électrocuté quelqu'un?,"C'était un accident. Je ne veux pas entrer dans les détails. Ce n'était qu'une de ces farces qui n'allaient pas vraiment bien. Évidemment, depuis que Swifty est mort. C'est pourquoi Anthony n'a jamais été diplômé.",cornell_movie_dialogs,conv_5323,bottle rocket,"comedy, crime"
"Je l'espère. Ecoute, McKenna à propos de ta femme: si j'avais su qu'elle était mariée...","Ça n'aurait pas fait une différence pour toi, n'est-ce pas? Pas un esprit. Tu sais pourquoi? Parce que tu es un homme sans scrupules.",cornell_movie_dialogs,conv_79646,u turn,"crime, drama, thriller"
"Non, ça a l'air bien. C'est cool.",C'est gentil.,cornell_movie_dialogs,conv_58870,love & basketball,"drama, romance, sport"
Oui.,Qu'est-ce que tu fais?,cornell_movie_dialogs,conv_49399,rambo: first blood part ii,"action, adventure, thriller"
"Nicky a été interrogé dans deux douzaines de meurtres, mais ils ont toujours dû le laisser partir. Il n'y a jamais eu de témoins.","Les flics m'ont blâmé pour tout ce qui s'est mal passé ici, et je veux dire tout ce qui s'est passé.",cornell_movie_dialogs,conv_40737,casino,"biography, crime, drama"
"Oui, mais c'est...","Mon fils ira bien. Sinon, je vous ferai tuer.",cornell_movie_dialogs,conv_11091,the grifters,"crime, drama, thriller"
Je ne comprends pas.,Quelque chose est arrivé à l'autopsie ce soir. On a trouvé une griffe dans le corps de Beauregard.,cornell_movie_dialogs,conv_75319,the relic,"horror, mystery, thriller"
Tu composes quoi?,La base de données d'AmeriTech. Il y a l'adresse du bureau d'Albert et son code d'identité. Maintenant on reprogramme le téléphone avec son code d'identification et tu sais ce qu'on a?,cornell_movie_dialogs,conv_46849,enemy of the state,"action, drama, thriller"
"En attendant, qu'est-ce que je dis à Lebowski?","Samedi, c'est Shabbas. Jour de repos juif. Je ne travaille pas, je ne conduis pas de voiture, je ne monte pas dans une voiture, je ne gère pas l'argent, je n'allume pas le four, et j'en suis sûr!",cornell_movie_dialogs,conv_38108,the big lebowski,"comedy, crime, mystery"
C'est une bonne idée. Que dois-je faire si je suis dans deux esprits à propos d'un sujet?,C'est facile. Des possibilités explicites. Les gens penseront que vous êtes assez intelligent pour être en mesure de regarder le sujet de plus d'un angle.,dialog_csv:test.csv,dialog_test_802,,
Et c'est tout le temps qu'il faut Pour un cœur à battre à nouveau. Donne-moi un signe. Qu'un amant fait Regarde autour de toi Celui que vous avez trouvé Encore.,Si seulement nous n'avions pas fait ce voyage. Si seulement la voiture n'avait pas cassé. Si seulement nous étions parmi des amis ou des personnes sensées.,cornell_movie_dialogs,conv_66507,the rocky horror picture show,"comedy, musical"
"Regarde ça. Cassé. Neuf Money Ward, aussi. 33 ans Et je n'ai même pas de montre décente. C'est l'heure où j'ai commencé à m'occuper de moi.","Nous revoilà une famille. Ça fait si longtemps qu'on a oublié ce que ça fait de bien. Je veux vous remercier pour ça, Wyatt. Tout ce que tu fais.",cornell_movie_dialogs,conv_78162,tombstone,"action, drama, history, romance, western"
"Des souvenirs dans le cerveau, peut-être.",Des souvenirs volés. Volé et brumeux. Ils me taquinent dans mes rêves. J'ai vu une belle femme se coucher et me demander de l'aimer. À qui était cette femme? J'ai vu des garçons jouer dans un ruisseau. À qui étaient ces amis d'enfance? Qui suis-je?,cornell_movie_dialogs,conv_8711,frankenstein,"drama, horror, sci-fi"
"Bonjour, Puis-je passer de mensuel a annuel?","Bonne question, voici une reponse claire. Allez dans Facturation puis Gerer l'abonnement et choisissez Annuler. Si vous voulez, je peux aussi vous donner une checklist concise.",qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_32673,,
"Oui, je crois. C'était très gentil de ta part, Eve.","L'anniversaire de M. Sampson. Je n'oublierais pas ça. Tu ne me pardonnerais jamais. En fait, je lui ai envoyé un télégramme moi-même...",cornell_movie_dialogs,conv_33781,all about eve,drama
"Vraiment? Tu ne parles pas à quelqu'un d'autre ici, n'est-ce pas? Tu sais, c'est moi, tu te souviens de moi? George Bailey.","Oui, George Bailey. Le vaisseau de qui vient d'arriver à condition qu'il ait assez de cerveaux pour monter à bord.",cornell_movie_dialogs,conv_55710,it's a wonderful life,"drama, fantasy, romance"
"Je pourrais te briser, mais je te ferais la salope de mon chien. Tu sucerais la bite et tu tomberais sur un chien en T.","Ce n'est pas triste de voir, papa, entrer en prison un homme blanc, sortir parler comme un nègre. C'est tout ce sperme noir qui lui tirait dans le cul. Il est dans son cerveau et sort de sa bouche.",cornell_movie_dialogs,conv_24229,reservoir dogs,"crime, mystery, thriller"
Celui dont tu me parlais?,"Non, celui-ci était pire... J'ai dû vaporiser l'endroit quand il est parti. Deux fois... Il était deux gars avant le dernier... sans compter un petit truc de bureau là-dedans, avec lequel je te fais confiance, parce que si ça sort, je suis dans la rue...",cornell_movie_dialogs,conv_21803,nurse betty,"comedy, crime, romance, thriller"
J'y crois toujours pas. Comment un gars va-t-il d'un militant anti-nuque à travailler pour la Commission de réglementation nucléaire?,"Quand vous et moi assistons à des rassemblements à l'université, nous avons contribué à la sensibilisation. Mais de l'intérieur maintenant, je peux effectivement faire changer. Je n'ai jamais perdu mon idéalisme.",cornell_movie_dialogs,conv_9154,godzilla,"action, horror, sci-fi, thriller"
Et parler c'est parler! Je crois qu'on devrait y aller.,"Oui. Donc, ça va être très formel, aussi, maintenant. Le lieutenant David Wills demande la mort plaisir de la compagnie de Fraulein Emmi Straube au dîner toute la nuit qu'elle se soucie.",cornell_movie_dialogs,conv_74543,taking sides,"drama, music, war"
"Allez-y. Je ne veux pas encore m'habiller. Reviens quand même. Reviens. Tu as l'air si détendue, comme une personne complètement différente.","C'est entièrement de ta faute. Et si je tombe par-dessus bord, ce sera aussi de ta faute.",cornell_movie_dialogs,conv_29009,the talented mr. ripley,"crime, drama, thriller"
C'est pas vrai. Je ne peux pas. Ma mère ne me laissera pas avoir de copains.,Elle ne veut pas? Pourquoi pas?,cornell_movie_dialogs,conv_15717,kids,"crime, drama"
Comment ça s'est passé? Tu as dit que le philodendron a de l'eau ou pas?,"Non, pour l'amour de Dieu, je l'ai arrosé hier. Ça s'est bien passé. J'ai fait un beau rêve, mais les circonstances ont surgi.",cornell_movie_dialogs,conv_37869,being john malkovich,"comedy, drama, fantasy, romance"
Et alors?,"Je vais à Bundy pour Brentwood. Cette banque est notre meilleur pari. Si quelqu'un arrive, je peux les suivre.",cornell_movie_dialogs,conv_41182,cellular,"action, crime, thriller"
"Rien ne va, j'ai juste un gars au téléphone sur mon autre ligne, il dit qu'il travaille pour ce gars, ce gars qui est le père de Frank...","- Non, non, c'est quoi? Qui ça? Quel est son nom?",cornell_movie_dialogs,conv_58924,magnolia,drama
"Je m'arrangerai pour que Laszlo vienne chercher les lettres de transit, et cela vous donnera les motifs criminels pour faire l'arrestation. Tu le prends, et on s'en va. Pour les Allemands qui seront les derniers ne seront qu'une petite ennui.","Il y a encore quelque chose dans cette affaire que je ne comprends pas. Mlle Lund, elle est très belle, oui, mais vous n'avez jamais été intéressée par aucune femme.",cornell_movie_dialogs,conv_5904,casablanca,"drama, romance, war"
