instruction,response,history
Dans quelle ville j'habite ?,Tu habites a Marseille.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Oui, monsieur... madame...","Je prends l'avion pour Berlin dans 45 minutes, ce qui signifie que vous allez me rappeler dans 30 minutes et quand je vous demande où nous en sommes, je ferais mieux d'être impressionné. Mon numéro de portable est...",
"Au revoir, M'sieu La... Oh, oui... C'est une affaire délicate et je ne veux pas... Vous voyez, si vous lisez attentivement ma publicité, vous avez dû remarquer qu'il y avait...","En d'autres termes, madame, cela vous embarrasse de m'offrir la récompense de vingt mille francs.",
Et ma ville ?,Ta ville est Nice.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
"C'est priorite urgente pour moi. Bonjour, J'ai oublie mon mot de passe, comment le reinitialiser?","En cas de perte de telephone, passez par la procedure de recuperation securisee. Si vous voulez, je peux aussi vous donner une checklist concise.",
Tu peux me rappeler mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
"Oui. Tu as déjà pensé que je pourrais peut-être t'aider? C'est peut-être ça, qu'on est une équipe?","Quoi, tu veux venir ici et me sauver? C'est ce que tu veux faire? J'ai un panneau qui dit ""sauvez-moi"" sur mon dos?",
"Contexte: je suis nouveau client. Bonjour, J'ai le code erreur E500 a la connexion.","Parfait, je m'en occupe avec vous. Essayez d'abord de vider le cache puis redemarrez l'application.",
"Des amis à vous, hein?","Celui que tu as payé est Bunker Wiess. Le grand est son frère, Warchild. Les deux autres sont toujours pendus. Ils pensent que c'est un genre d'escadron de la mort par ici.",
Dans quelle ville j'habite ?,Tu habites a Lille.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Ines, tu habites a Toulouse, ton sport prefere est le natation, et tu veux t'entrainer 40 minutes le vendredi.","Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Karim.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le running.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Nice.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Lille.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le foot.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Lea.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
"J'ai deja essaye les solutions de base. Hello, Puis-je passer de mensuel a annuel?","Ajoutez votre nouvelle carte dans les moyens de paiement et mettez-la par defaut. Si vous voulez, je peux aussi vous donner une checklist concise.",
Et ma ville ?,Ta ville est Lyon.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Nantes.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Regardez! C'était celui-là. C'est le genre de chose que je cherchais. Mais ce n'est pas vraiment la couleur.,"Ça pourrait être l'éclairage artificiel, madame. Bien sûr, si vous pouviez revenir en plein jour, vous pourriez trouver que c ' est exactement ce que vous cherchez.",
Tu peux me rappeler mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Rachid.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le foot.,"Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
J'ai été piégé et tu le sais... mais tu as juré sous serment que j'étais sale. Tu m'as aidé à m'enterrer.,"Le jury vous a reconnu coupable, pas moi. Je viens de l'appeler comme je l'ai vu. Fais chier. Vous avez été amené ici pour une raison. Doucet s'est échappé. Réanimée pour son audience de libération conditionnelle. Il a tué beaucoup de gens. La plupart des flics.",
Ce n'est pas seulement ça. Elle critique aussi comment on élève les enfants.,"Ma belle-mère nous faisait la même chose. S'il ne les discipline pas assez, alors nous les disciplinons trop. Elle s'est aussi plainte de la nourriture que nous leur avons donnée, des écoles que nous leur avons envoyées, et de tout le reste sous le soleil.",
Tu peux me rappeler mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Paris.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon prenom et ma ville.,Tu t'appelles Rachid et ta ville est Nice.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Lille.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
"Un menu assez bizarre, n'est-ce pas?","Même s'ils essayaient de nous faire peur, un hindou fervent ne toucherait jamais la viande. On se demande ce que sont ces gens...",
N'avez-vous pas peur de Dieu?,"C'est pour ça que je fais ça, maintenant ouvre ce putain de truc.",
Tu peux me rappeler mon prenom ?,Ton prenom est Lea.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Comme je devrais être prudent?,"Je n'aime pas qu'on me parle de bébé, ni de bébé. Je n'aime pas votre attitude possessive, ni vos conseils de connaissance secrète. En fait, pour être franc, M. Mitchell, je ne vous aime pas.",
Tu peux me rappeler mon prenom ?,Ton prenom est Ines.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Marseille.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Marseille. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 60 minutes le vendredi.,"Utilisateur: Bonjour, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Karim.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Sofia, tu habites a Paris, ton sport prefere est le tennis, et tu veux t'entrainer 40 minutes le dimanche.","Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Lille.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Sarah et ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Elle a...?,"Elle n'a pas manqué une semaine depuis mon départ - mais vous savez tout ça, vous lui dites probablement quoi écrire... de toute façon, je lui ai envoyé une liste de personnes à demander - vérifier avec elle.",
Rappelle mon prenom et ma ville.,Tu t'appelles Rachid et ta ville est Paris.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Vous avez l'intention de le marquer un peu plus précisément que...,"En votre honneur, Nigel. Et vous et Singh serez en charge de les construire, et vous allez aussi construire les parterres et les trois piliers de fondation, et vous serez finis dans huit semaines passionnantes.",
...elle est allée se plaindre de crampes d'estomac. Un bon médecin aurait douté de l'information sur le tableau.,C'est ce qu'un bon docteur ferait? Quel âge avez-vous?,
Tu peux me rappeler mon prenom ?,Ton prenom est Karim.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le running.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Rachid.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Edie, ton vieil homme a raison, retourne à l'école à Daisyland. Tu te rends dingue, tu me rends dingue, arrête de t'inquiéter pour toi.",Prenez soin du numéro un. Toujours numéro un. J'aurais dû savoir que tu ne me le dirais pas. Papa disait que Johnny Friendly te possédait. Je pense qu'il te possède toujours. Pas étonnant que tout le monde t'appelle nul.,
Une manivelle. Je cherche des sabots de chèvre. Vous avez quelque chose?,"Celui-ci est intéressant. Berlin, 1939, une charrette de fleurs s'est retirée toute seule et a roulé environ un demi-kilomètre au-dessus du sol. Trois cents témoins oculaires.",
"Qu'est-ce que je faisais là-haut pour faire un discours? Moi? Plus j'y pense, plus je pourrais...","Abattez toutes les clôtures. Si tu déchirais un piquet de la clôture de ton voisin, il te poursuivrait!",
"Oui, oui, frappez-moi... battez-moi, s'il vous plaît.","Tu as été une mauvaise fille, Grace. Tu as pris mon coeur à ta maman, n'est-ce pas? Vous l'avez trahie! Comme toi. Il n'y a pas de cadeau pour toi!",
Oui. Il élève du maïs.,Beaucoup de maïs élevé à Hollywood ces jours-ci aussi.,
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 60 minutes le dimanche.,"Utilisateur: Bonjour, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Bien sûr. Il est à l'hôpital. Comment va-t-il?,"Il va bien. J'espère. Ils font des tests, c'est pour ça que je rentre de l'école. J'étais à l'hôpital ce matin et je rentrais chez moi et sur le terrain derrière notre quartier. Derrière Vista, j'ai trouvé une oreille.",
Dans quelle ville j'habite ?,Tu habites a Nantes.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 20 minutes le mercredi.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"J'ai reçu un appel de dérangement, criant et criant, musique forte. Il y a eu des cris et des cris?","Oui. J'ai eu quelqu'un à ma porte, quelqu'un que je ne voulais pas ici et je leur ai dit de partir -- donc -- ce n'est pas grave. Ils sont partis. Je suis désolé.",
"Retirez-vous dans un endroit privé, ou raisonnez froidement de vos grievences, ou bien partez. Ici tous les yeux nous regardent.","Les yeux des hommes étaient faits pour les regarder, et les laisser regarder. Je ne bougerai pas pour le plaisir de personne, moi.",
Rappelle mon prenom et ma ville.,Tu t'appelles Yanis et ta ville est Nice.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Ines et ta ville est Nice.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Lille.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le running.,"Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Je commence à penser que ça ne veut rien dire. Souviens-toi de la vengeance...,- Tu es désespéré! Tu ne peux même pas lire une phrase! Ils ne t'ont pas appris la ponctuation à l'école? Le match se termine ce soir!,
"- Qu'est-ce que tu fais ici, neuf mois?","Et tu as eu une sacrée montée météorique, c'est sûr... quand tu auras quarante ans, tu seras peut-être à la tête du bureau du Montana...",
"Je suis hétéro, Joel. Ils n'ont rien contre moi. Ecoute, je te le dis, il va prendre le marché ailleurs.",Il pourrait aller ailleurs avec ses soixante kilos d'héroïne et voir à quel point il est facile de rassembler un demi-million d'argent. Il n'a pas trouvé qu'il était pressé de faire ce genre d'affaires.,
Quel est mon sport prefere ?,Ton sport prefere est le running.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Lyon.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Sarah.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
"Bonsoir, Pouvez-vous verifier le suivi de mon colis?","Bien sur, je peux vous aider. Consultez d'abord le dernier scan et la date estimee de livraison. Souhaitez-vous les etapes exactes a suivre maintenant?",
Tu peux me rappeler mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le running.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Sofia, tu habites a Lyon, ton sport prefere est le running, et tu veux t'entrainer 60 minutes le mardi.","Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Ce n'est pas un cerveau. C'est comme ça que tu les utilises.,"Oui. Oui. J'ai votre avis. Tu sais que je t'ai vu beaucoup de fois avant. École paroissiale sur Pulaski Street? Il y a sept, huit ans? Tes cheveux tombent",
Et puis...?,Pas d'ironie. Tu es tellement attirante -- si douce -- si fatiguée. J'ai envie de te prendre dans mes bras et de ne rien laisser t'arriver de plus -- jamais.,
Oui. Qu'est-ce que l'inspecteur espère trouver à San Remo?,"Il est complet, c'est tout. J'apprends sur mon fils, Tom, maintenant il a disparu. J'apprends beaucoup sur lui. J'espère que vous pourrez me remplir d'autres blancs. Marge a été assez bonne pour faire ça, à propos de Mongibello.",
Rappelle mon prenom et ma ville.,Tu t'appelles Nadia et ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Karim, tu habites a Marseille, ton sport prefere est le running, et tu veux t'entrainer 20 minutes le mercredi.","Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
